# touch_trace  screen=800x480  portrait=0
# raw_range X[-35..4167] Y[-233..4335]
# calib_enabled=1 raw_range X[-35..4167] Y[-233..4335]
# bezel(UI) T=15 B=15 L=0 R=0
# columns: raw_x raw_y cal_x cal_y est_x est_y
4095 532 785 80 786 80
4095 475 785 74 786 74
4095 446 785 71 786 71
4095 410 785 67 786 67
4095 372 785 63 786 63
4095 363 785 62 786 62
4095 322 785 58 786 58
4095 280 785 53 786 53
4095 245 785 50 786 50
4095 227 785 48 786 48
4095 162 785 41 786 41
4095 152 785 40 786 40
4095 121 785 37 786 37
4095 205 785 45 786 46
4095 132 785 38 786 38
4095 85 785 33 786 33
4095 61 785 30 786 30
4095 49 785 29 786 29
4095 0 785 24 786 24
4085 0 783 24 784 24
4079 0 782 24 783 24
4046 0 775 24 776 24
4020 0 771 24 772 24
4007 0 768 24 769 24
3974 0 762 24 763 24
3958 0 759 24 760 24
3922 0 752 24 753 24
3890 0 746 24 747 24
3854 0 739 24 740 24
3796 0 728 24 729 24
3721 0 714 24 715 24
3631 0 697 24 697 24
3544 0 680 24 681 24
3461 0 664 24 665 24
3357 0 644 24 645 24
3271 0 628 24 629 24
3228 0 620 24 621 24
3181 0 611 24 612 24
3131 0 602 24 602 24
3132 0 602 24 602 24
3102 0 596 24 597 24
3094 0 594 24 595 24
3090 0 594 24 594 24
3076 0 591 24 592 24
3039 0 584 24 585 24
3020 0 580 24 581 24
2975 0 572 24 573 24
2942 0 566 24 566 24
2916 0 561 24 561 24
2875 0 553 24 554 24
2838 0 546 24 546 24
2806 0 540 24 540 24
2776 0 534 24 535 24
2751 0 529 24 530 24
2704 0 520 24 521 24
2649 0 510 24 510 24
2613 0 503 24 504 24
2571 0 495 24 496 24
2528 0 487 24 487 24
2495 0 481 24 481 24
2452 0 472 24 473 24
2421 0 467 24 467 24
2391 0 461 24 461 24
2346 0 452 24 453 24
2314 0 446 24 447 24
2298 0 443 24 444 24
2290 0 442 24 442 24
2272 19 438 26 439 26
2213 19 427 26 427 26
2199 11 424 25 425 25
2176 6 420 25 420 25
2155 4 416 24 416 24
2104 3 406 24 407 24
2112 2 408 24 408 24
2096 2 405 24 405 24
2065 2 399 24 399 24
2029 2 392 24 392 24
2011 2 389 24 389 24
1990 2 385 24 385 24
1960 2 379 24 379 24
1935 2 374 24 375 24
1906 2 369 24 369 24
1874 2 362 24 363 24
1848 2 358 24 358 24
1835 2 355 24 356 24
1818 2 352 24 352 24
1810 2 350 24 351 24
